MsgID.GLOBAL_POSITION,1522889105.5723579,-122.3957515,37.7932805,-0.0320000
MsgID.LOCAL_VELOCITY,1522889105.5723579,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5725939,-0.1236006,0.0144562,0.0324172
MsgID.LOCAL_VELOCITY,1522889105.5725939,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.5727549,-122.3957515,37.7932810,-0.0540000
MsgID.LOCAL_VELOCITY,1522889105.5727549,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5728991,-0.0708775,0.0141561,0.0547396
MsgID.LOCAL_VELOCITY,1522889105.5728991,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.5730402,-122.3957515,37.7932829,-0.0660000
MsgID.LOCAL_VELOCITY,1522889105.5730402,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5731761,0.1392391,0.0153875,0.0667811
MsgID.LOCAL_VELOCITY,1522889105.5731761,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522889105.5734270,False,False
MsgID.GLOBAL_HOME,1522889105.5743430,-122.3957516,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,1522889105.5745001,-122.3957510,37.7932821,-0.0600000
MsgID.LOCAL_VELOCITY,1522889105.5745001,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5746670,0.0534734,0.0567382,0.0604346
MsgID.LOCAL_VELOCITY,1522889105.5746670,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.5748110,-122.3957512,37.7932817,-0.0310000
MsgID.LOCAL_VELOCITY,1522889105.5748110,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5749540,0.0081879,0.0371804,0.0313673
MsgID.LOCAL_VELOCITY,1522889105.5749540,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.5750909,-122.3957520,37.7932818,0.0100000
MsgID.LOCAL_VELOCITY,1522889105.5750909,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5752351,0.0171195,-0.0291193,-0.0109355
MsgID.LOCAL_VELOCITY,1522889105.5752351,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.5753732,-122.3957535,37.7932818,0.0700000
MsgID.LOCAL_VELOCITY,1522889105.5753732,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5755169,0.0182384,-0.1662927,-0.0707015
MsgID.LOCAL_VELOCITY,1522889105.5755169,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522889105.5757251,False,False
MsgID.GLOBAL_HOME,1522889105.5760250,-122.3957516,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,1522889105.5761511,-122.3957527,37.7932815,0.1300000
MsgID.LOCAL_VELOCITY,1522889105.5761511,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.5763299,-0.0128898,-0.0935978,-0.1301841
MsgID.LOCAL_VELOCITY,1522889105.5763299,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522889105.6999309,-122.3957515,37.7932817,0.1740000
MsgID.LOCAL_VELOCITY,1522889105.6999309,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.7004750,0.0205145,0.0340389,-0.1746465
MsgID.LOCAL_VELOCITY,1522889105.7004750,0.0000146,-0.0000088,0.0000181
MsgID.GLOBAL_POSITION,1522889105.9501619,-122.3957515,37.7932817,0.2030000
MsgID.LOCAL_VELOCITY,1522889105.9501619,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889105.9503679,0.0254169,0.0389128,-0.2031989
MsgID.LOCAL_VELOCITY,1522889105.9503679,0.0000040,0.0000040,-0.0000374
MsgID.LOCAL_POSITION,1522889106.1990709,0.1396590,0.0662729,-0.2083547
MsgID.LOCAL_VELOCITY,1522889106.1990709,-0.0000153,-0.0000006,0.0000417
MsgID.GLOBAL_POSITION,1522889106.1992891,-122.3957512,37.7932828,0.2080000
MsgID.LOCAL_VELOCITY,1522889106.1992891,0.0000000,0.0000000,0.0000000
MsgID.STATE,1522889106.4191670,True,True
MsgID.GLOBAL_HOME,1522889106.4197559,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889106.4484811,-122.3957497,37.7932820,0.1920000
MsgID.LOCAL_VELOCITY,1522889106.4484811,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522889106.4487770,0.0527745,0.1996486,-0.1924810
MsgID.LOCAL_VELOCITY,1522889106.4487770,-0.0000037,-0.0000122,0.0000230
MsgID.GLOBAL_POSITION,1522889106.6998711,-122.3957496,37.7932805,0.3950000
MsgID.LOCAL_VELOCITY,1522889106.6998711,0.0000000,0.0000000,-2.0200000
MsgID.LOCAL_POSITION,1522889106.7000871,-0.1080725,0.2091584,-0.3953390
MsgID.LOCAL_VELOCITY,1522889106.7000871,0.0066121,-0.0053076,-2.0284650
MsgID.GLOBAL_POSITION,1522889106.9498730,-122.3957508,37.7932826,1.1490000
MsgID.LOCAL_VELOCITY,1522889106.9498730,0.0200000,0.0000000,-3.9200000
MsgID.LOCAL_POSITION,1522889106.9501109,0.1243892,0.0934882,-1.1508756
MsgID.LOCAL_VELOCITY,1522889106.9501109,0.0238761,0.0039931,-3.9276109
MsgID.GLOBAL_POSITION,1522889107.2009101,-122.3957515,37.7932834,2.1320000
MsgID.LOCAL_VELOCITY,1522889107.2009101,0.0000000,0.0100000,-4.5000000
MsgID.LOCAL_POSITION,1522889107.2012410,0.2129165,0.0395233,-2.1324871
MsgID.LOCAL_VELOCITY,1522889107.2012410,0.0051307,0.0156457,-4.5055289
MsgID.STATE,1522889107.4195890,True,True
MsgID.GLOBAL_HOME,1522889107.4198139,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889107.4517109,-122.3957514,37.7932823,3.0710000
MsgID.LOCAL_VELOCITY,1522889107.4517109,0.0000000,0.0100000,-2.3900000
MsgID.LOCAL_POSITION,1522889107.4521999,0.0881712,0.0472429,-3.0710497
MsgID.LOCAL_VELOCITY,1522889107.4521999,-0.0026930,0.0180972,-2.3967788
MsgID.GLOBAL_POSITION,1522889107.6998091,-122.3957513,37.7932816,3.3160000
MsgID.LOCAL_VELOCITY,1522889107.6998091,0.0000000,0.0100000,-0.0300000
MsgID.LOCAL_POSITION,1522889107.7001491,0.0144221,0.0548694,-3.3167536
MsgID.LOCAL_VELOCITY,1522889107.7001491,-0.0025403,0.0170710,-0.0359576
MsgID.GLOBAL_POSITION,1522889107.9511909,-122.3957500,37.7932823,3.0300000
MsgID.LOCAL_VELOCITY,1522889107.9511909,0.5200000,0.0100000,1.6400000
MsgID.LOCAL_POSITION,1522889107.9516239,0.0878349,0.1708397,-3.0297747
MsgID.LOCAL_VELOCITY,1522889107.9516239,0.5307218,0.0132998,1.6464286
MsgID.GLOBAL_POSITION,1522889108.1997812,-122.3957506,37.7932861,2.6380000
MsgID.LOCAL_VELOCITY,1522889108.1997812,1.9600000,0.0000000,1.1700000
MsgID.LOCAL_POSITION,1522889108.2000070,0.5098982,0.1152501,-2.6380279
MsgID.LOCAL_VELOCITY,1522889108.2000070,1.9642173,-0.0010021,1.1748711
MsgID.STATE,1522889108.4203091,True,True
MsgID.GLOBAL_HOME,1522889108.4205492,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889108.4513721,-122.3957526,37.7932926,2.5880000
MsgID.LOCAL_VELOCITY,1522889108.4513721,4.0200000,-0.0100000,-0.4900000
MsgID.LOCAL_POSITION,1522889108.4515719,1.2379848,-0.0623426,-2.5883551
MsgID.LOCAL_VELOCITY,1522889108.4515719,4.0251851,-0.0115903,-0.4990353
MsgID.GLOBAL_POSITION,1522889108.7015190,-122.3957499,37.7933015,2.7320000
MsgID.LOCAL_VELOCITY,1522889108.7015190,4.8600000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,1522889108.7021260,2.2197402,0.1802667,-2.7327516
MsgID.LOCAL_VELOCITY,1522889108.7021260,4.8646474,-0.0062065,-0.1404368
MsgID.GLOBAL_POSITION,1522889108.9519281,-122.3957506,37.7933139,2.7340000
MsgID.LOCAL_VELOCITY,1522889108.9519281,5.6200000,-0.0100000,0.4300000
